entire lamina septum pellucidum	gehele lamina septi pellucidi
epiphysis of middle phalanx of finger	epifyse van midfalanx van vinger
diphenylhydantoin measurement	bepalen van difenylhydantoïne
local transposition flap - random pattern	reconstructie met lokale 'random-pattern'-transpositielap
anaesthesia for burr holes	anesthesie voor trepanatie van schedel
ligation of bulla of lung	ligatuur van bulla van long
removal of foreign body from forefoot	verwijdering van vreemd lichaam uit regio van voorvoet
entire spinal nerve root T10	tiende thoracale spinale zenuwwortel
injury of brachial plexus	letsel van plexus brachialis
fetal buttock	structuur van regio glutealis van foetus
nelaton 10Ch antimicrobial-coated female length urethral catheter	nelaton 10Ch antibacterieel gecoate vrouwelijke lengte urethrale katheter
gonad regulating hormone adverse reaction	ongewenste reactie van gonadotroop hormoon
induced hypotension	bewust veroorzaken van lage bloeddruk
bell palsy	bellverlamming
application of Crutchfield tongs of skull with synchronous skeletal traction	aanbrengen van Crutchfield-klem met synchrone skelettractie
malignant tumor of urethra	maligne neoplasma van urethra
laser ablation of lesion of liver using computed tomography guidance	laserablatie van afwijkend weefsel van lever onder geleide van computertomografie
contact dermatitis caused by ragweed	contacteczeem door Ambrosia
shaft of ulna	corpus ulnae
cavernoscopy of thorax	cavernoscopie van borstkas
history of episcleritis	voorgeschiedenis met episcleritis
abuse of antacids	misbruik van antacidum
pathological dislocation of the shoulder region	pathologische luxatie van schouderregio
anemia due to metabolic disorder	bloedarmoede door stofwisselingsstoornis
decreased active range of toe extension	beperking van actieve extensie van teen
removal of cardiac monitoring implant using fluoroscopic guidance	verwijdering van implanteerbare hartritmemonitor onder röntgendoorlichting
psychostimulant	opwekkend middel
musculotendinous junction of tibialis anterior	structuur van myotendineuze verbinding van musculus tibialis anterior
vancomycin-resistant enterococcal septicaemia	sepsis door vancomycineresistente enterokokken
buspirone allergy	allergie voor buspiron
upper limb tension test	upper limb tension test
pelvic exenteration	bekkenexenteratie
secondary non-thrombocytopenic purpura	secundaire non-trombocytopenische purpura
serum C24/C22 long chain fatty acid level	bepalen van C24-C22-ratio in serum
pentosan polysulphate sodium	pentosannatriumpolysulfaat
release of subtalar joint for correction congenital deformity of foot	'release' van articulatio subtalaris voor correctie van congenitale deformiteit van voet
ganglionectomy of cranial nerve	gangliëctomie van nervus cranialis
visual attentiveness	visuele aandacht
cardiac inotropic agent overdose	overdosis van inotropicum
burn of right palm	brandwond van volaire zijde van rechter hand
fried lemon sole in breadcrumbs	gebakken tongschar in paneermeel
lesion of oral mucosa	afwijkend weefsel van orale mucosa
atrial paroxysmal tachycardia	paroxismale atriale tachycardie
entire fovea triangularis of arytenoid cartilage	volledige fovea triangularis van arytenoïd kraakbeen
entire splenic fossa of omental sac	gehele recessus lienalis bursae omentalis
disseminated infection caused by Borrelia	gedissemineerde infectie door Borrelia
salmonella II 1,9,12:g,m,s,t:e,n,x	Salmonella II 1,9,12:g,m,s,t:e,n,x
excision of lesion of tendon sheath of foot	excisie van afwijkend weefsel van peesschede van voet
excision of branchial tract	excisie van structuur van kieuwspleet van hals en/of nek
limited echography of abdomen, B-scan	beperkte B-scanechografie van abdomen
ability to perform intermittent urethral self-catheterisation	vermogen om intermitterende urethrale zelfkatheterisatie uit te voeren
pellet wound of genitalia	hagelschotwond van genitalia
eimeria exigua	Eimeria exigua
reusable instrument guard	herbruikbare beschermer voor instrument
permanent upper canine tooth socket	alveole van volwassen maxillaire dens caninus
administration of human tetanus immune globulin	toedienen van MATIG
partial salpingo-oophorectomy	partiële excisie van tuba Fallopii en oöforon
bone structure of left ulna	botstructuur van ulna van linker arm
repair of tetralogy of Fallot with absent pulmonary valve	operatief herstel van tetralogie van Fallot met ontbrekende pulmonalisklep
acrylic contact lens	acrylaatcontactlens
tricholomopsis rutilans	Tricholomopsis rutilans
adenosquamous carcinoma	adenosquameus carcinoom
family Sclerodermataceae	familie Sclerodermataceae
debridement of open fracture of tibia	wondtoilet van tibia
disease of head	ziekte van hoofd
neck of distal phalanx of finger	exclusief digitus I structuur van collum van distale falanx van digitus van hand
open fracture of phalanx of little finger	gecompliceerde fractuur van phalanx van digitus minimus manus
fluoroscopic venography of azygos vein	fluoroscopische flebografie van vena azygos
accidental ingestion of solomons seal seeds	onopzettelijke inname van salomonszegelzaad
entire bone tissue of distal phalanx of second toe	geheel botweefsel van distale falanx van digitus II van voet
bereavement support visit	ondersteunend bezoek bij rouwverwerking
tracheoesophageal fistula gauge	tracheoesofageale fistelmeter
flexor pollicis longus	lange duimbuiger
trainee photographer	fotograaf in opleiding
unprepared barium enema	bariumklysma zonder voorbereiding
genus Chitinophaga	genus Chitinophaga
entire venulae rectae	gehele venulae rectae
product containing ethinylestradiol and levonorgestrel in oral dosage form	product dat ethinylestradiol en levonorgestrel in orale vorm bevat
7.2	7.2
suprarenal impression of liver	impressio suprarenalis
burkholderia ferrariae	Paraburkholderia ferrariae
pedicle of fifth cervical vertebra	pediculus van vijfde cervicale wervel
CFS - Chronic fatigue syndrome	chronischevermoeidheidssyndroom [CVS]
product containing only pentaerythritol triacrylate	product dat alleen pentaerythritol triacrylaat bevat
hereditary sclerosing poikiloderma of Weary	ziekte van Weary
thioridazine poisoning	vergiftiging door thioridazine
severe dehydration	ernstige dehydratie
open wound of ankle without complication	wond van enkel zonder complicatie
mesomelic dysplasia with cleft palate and camptodactyly syndrome	palatoschisis en camptodactylie syndroom van mesomele dysplasie
procedure on salivary gland	verrichting op glandula salivaria
escherichia coli serotype O166:H15	Escherichia coli serotype O166:H15
loeffler methylene blue stain method	Loeffler methyleenblauwe vlekkenmethode
renal cortex	nierschors
inferior radioulnar joint structure	structuur van articulatio radioulnaris distalis
decreased tear film break-up time	verminderde 'break-up time' van de traanfilm
on examination - leg bone abnormal	bij onderzoek - beenbot abnormaal
reconstruction of breast with immediate insertion of breast prosthesis	mammareconstructie met onmiddellijke insertie van mammaprothese
actinomyces denticolens	Actinomyces denticolens
besnier-Boeck-Schaumann syndrome	ziekte van Besnier-Boeck-Schaumann
cercopithecine herpesvirus 1	Macacine alphaherpesvirus 1
fluid sample potassium measurement	bepalen van kalium in vocht
hartnup disorder which is renal/jejunal type	ziekte van Hartnup met renale en/of jejunale betrokkenheid
pleurophomopsis lignicola	Pleurophomopsis lignicola
arteriovenous cannulation for blood treatment	arterioveneuze cannulatie voor bloedgerelateerde behandeling
spinal nerve branch of cervical sympathetic nervous system	cervicale tak van sympathisch zenuwstelsel
salmonella enterica subsp. enterica ser. Fass	Salmonella enterica subspecies enterica serovar Fass
viridibacillus neidei	Viridibacillus neidei
dental amalgam mixer	tandheelkundige amalgaam mixer
entire apical segment of right upper lobe of lung	volledig apicaal segment van rechterlongbovenkwab
auburn hair	kastanjebruin haar
genus Afropavo	geslacht Afropavo
somatoform pain disorder	somatoforme pijnstoornis
mycobacterium africanum or Mycobacterium pinnipedii	aanwezigheid van Mycobacterium tuberculosis variant africanum of Mycobacterium tuberculosis variant pinnipedii
product containing meclocycline in cutaneous dose form	product dat meclocycline in cutane vorm bevat
neurosyphilis	neurosyfilis
fenestration of maxilla	fenestratie van maxilla
genus Aviadenovirus	genus Aviadenovirus
radionuclide blood pool study	'blood pool'-scintigrafie
catering/personal services	catering en/of persoonlijke dienstverlening
hospital dietitian	ziekenhuisdiëtist
neurovascular embolisation coil	coil voor neurovasculaire embolisatie
small blood vessel	klein bloedvat
sterile polymer orthopedic cement restrictor, non-bioabsorbable	steriele niet-resorbeerbare orthopedische cementrestrictor van polymeer
parasitic infection causing ulcer of oesophagus	ulcus van oesofagus door parasitaire infectie
excision of cyst of breast	excisie van cyste van mamma
anastomosis of artery by suture of distal to proximal end	aanleggen van anastomose van arterie door hechting van distale aan proximale uiteinde
intentional nikethamide overdose	opzettelijke overdosis door nikethamide
intrabiliary	via galwegen
endothoracic fascia structure	structuur van fascia endothoracica
onset of psoriasis in childhood	begin van psoriasis in de kindertijd
acanthamoeba culbertsoni	Acanthamoeba culbertsoni
intrapartum haemorrhage with coagulation defect	bloeding tijdens partus met bloedstollingsstoornis
gynaecoid pelvis	gynaecoïd pelvis
tympanic cavity structure	structuur van cavitas tympani
open fracture of second metatarsal bone	open breuk van tweede middenvoetsbeen
circumscribed neurofibroma	circumscript neurofibroom
vigabatrin overdose of undetermined intent	overdosis vigabatrine met onbekende intentie
current tear of semilunar cartilage	Verse scheur van cartilago semilunaris
reduction of Le Fort 2 fracture of maxilla	reduceren van piramidefractuur van maxilla
campylobacter antigen negative	Campylobacter antigeen negatief
ribs or sternum osteoclasis of thorax	ribben of sternum osteoclasie van thorax
entire tendon of sternocleidomastoid	gehele pees van musculus sternocleidomastoideus
self-stimulative behaviour	zelfstimulerend gedrag
autism spectrum disorder activity dependent neuroprotector homeobox related multiple congenital anomalies, intellectual disability	verstandelijke beperking en autismespectrumstoornis syndroom van 'activity dependent neuroprotector homeobox'-gerelateerde multipele congenitale afwijkingen
acetabuloplasty with resection of femoral head	acetabuloplastiek met resectie van femurkop
closure of pleuropericardial fistula	sluiten van fistel tussen pleuraholte en pericard
defect of ventricular septum following myocardial infarction	ventrikelseptumdefect na myocardinfarct
vertebral bone marrow	beenmerg van de vertebra
pharyngeal reconstruction with gastrointestinal anastomosis	faryngeale reconstructie met gastro-intestinale anastomose
and counseling bonding / attachment teaching, guidance	instrueren en/of begeleiden bij hechting adviseren
impairment level: one eye: total impairment; other eye: near-normal vision	stoornisniveau: één oog: totale stoornis: ander oog: bijna-normaal zicht
retrobulbar injection of medication	retrobulbaire injectie van geneesmiddel
ilarvirus group	Ilarvirus groep
injury of prostate without open wound into abdominal cavity	letsel van prostaat zonder open wond naar buikholte
single layer hand sewn intestinal anastomosis	aanleggen van handgelegde intestinale anastomose met enkele laag
paced Auditory Serial Addition Test score	Pakketgewijze Auditieve Toevoegingsscore Testscore
peripheral disseminated choroiditis and chorioretinitis	perifeer gedissemineerde choroïditis en choroïdoretinitis
entire inferior pancreatic lymph node	gehele onderste pancreatische lymfeknoop
fusion of lumbosacral region of spine by anterior approach	lumbosacrale spondylodese met anterieure benadering
ability to perform personal care activity	mogelijkheid tot het uitvoeren van persoonlijke verzorgingsactiviteiten
structure of intervertebral disc space of fourth cervical vertebra	structuur van intervertebrale ruimte van vierde cervicale wervel
irreducible left inguinal hernia	niet-reponeerbare linker hernia inguinalis
taking anal swab for chlamydia	afname van uitstrijkje van anus voor chlamydia-onderzoek
fried skate in batter	gebakken vleet in beslag
entire radial digital nerve of thumb	gehele radiale digitale zenuw van digitus I van hand
inflammatory disorder of the respiratory tract	inflammatoire aandoening van respiratoire tractus
giant cell tumour of craniofacial bones	osteoclastoom van bot van schedel en aangezicht
tibial muscular dystrophy	tibiale spierdystrofie
blind registration	blinde registratie
non-valved tracheo-oesophageal speech valve occluder	afsluiter zonder ventiel voor tracheo-oesofageale spraakklep
black gram dahl curry	dahlcurry met zwarte bonen
excision of trochanteric pressure ulcer with skin flap closure	excisie van drukulcus van trochanter major met sluiten met huidlap
delivered by cesarean delivery following previous cesarean delivery	verlossing via keizersnede na eerdere keizersnede
labial tear	schaamlipscheur
accident caused by electric wiring or appliance on farm	ongeval veroorzaakt door elektrische bedrading of elektrisch toestel op boerderij
repair of hypoplastic left heart syndrome	herstel linker hypoplastische ventrikel
intentional naproxen poisoning	opzettelijke intoxicatie door naproxen
partial thickness burn of right lower leg	gedeeltelijke dikteverbranding van het rechter onderbeen
destruction of intervertebral disc	destructie van discus intervertebralis
abnormal eye movement	oogbeweeglijkheid abnormaal
fetal ascites	ascites bij foetus
nervios	nervios
soft tissue lesion of shoulder region	afwijkend weefsel van weke delen van schouderregio
chronic kidney disease stage 2	chronische nierinsufficiëntie stadium 2
dextrorotation of heart	congenitale dextrorotatie van hart
cancer immunotherapy	immunotherapie tegen kanker
azabicyclo compound	azabicycloverbinding
bifid tongue	bifidetong
assessment using sensory integration and praxis test	beoordelen met 'Sensory Integration and Praxis Test'
necrospermia	necrospermie
long term care hospital	ziekenhuis voor langdurige zorg
radiography of pelvic soft tissue	röntgenonderzoek van weke delen van bekken
transverse process of lumbar vertebra	processus transversus van lumbale wervel
entire skeletal muscle of lower limb	gehele skeletspier van onderste ledemaat
creation of lumbar subarachnoid shunt with laminectomy	aanleggen van shunt van lumbale subarachnoïdale ruimte met laminectomie
intents (nature of procedure values)	intentie als aard van verrichtingswaarde
non-amnestic Alzheimer disease	niet-amnestische Alzheimer-dementie
removal of foreign body of trunk	verwijderen van corpus alienum uit romp
bloody peritoneal effusion	serosanguineuze effusie in peritoneale holte
neonatal jaundice due to deficiency of enzyme system for bilirubin conjugation	icterus neonatorum door deficiëntie van enzymsysteem voor conjugatie van bilirubine
mitral valve clip	mitralisclip
shprintzen-Goldberg syndrome	SGS
entire articular facet of third metatarsal	geheel gewrichtsvlak van derde metatarsaal
robotic surgical system application software	applicatiesoftware voor systeem voor robotchirurgie
subchorionic space	spatium subchorionicum
conversion to prosthetic hybrid total replacement of shoulder joint using cemented humeral component	conversie naar vervanging van totale schoudergewricht door hybride prothese met gecementeerde humeruscomponent
structure of interphalangeal joint of finger	exclusief duim structuur van interfalangeaal gewricht van vinger
tenderness of hip joint	gevoeligheid van heupgewricht
postmortem skeletal survey using radiographic imaging	overzicht van skelet post mortem met behulp van radiografische beeldvorming
ultrasound treatment to hand	ultrageluidbehandeling van hand
taenia coli structure	structuur van taeniae coli
acquired deformity of head	verworven deformiteit van hoofd
thyroid pre-albumin binding abnormality	afwijking in binding van schildklierhormonen aan prealbumine
manipulation of lacrimal drainage structure	manipulatie van traanafvoersysteem
infection caused by Arcanobacterium pyogenes	infectie door Arcanobacterium pyogenes
mendelian susceptibility to mycobacterial disease due to complete interferon gamma receptor 2 deficiency	mendeliaanse gevoeligheid voor mycobacteriële ziekte door volledige interferon-gamma-receptor-2-deficiëntie
family Apiaceae	familia Apiaceae
carcinoma of submandibular gland	carcinoom van onderkaakspeekselklier
lymphocyte positive for CD7 antigen and negative for CD3 antigen	CD3-negatieve en CD7-positieve lymfocyt
intracytoplasmic membrane system AND/OR associated structure	intracytoplasmatisch membraansysteem en/of bijbehorende structuur
antiparkinsonian agent	antiparkinsonmiddel
RRNA operon	rRNA-operon
capsule of foot joint	structuur van kapsel van voetgewricht
product containing hydrochlorothiazide and olmesartan	product dat hydrochloorthiazide en olmesartan bevat
history of Guillain Barre syndrome	GBS in anamnese
peter's anomaly	en door het ontbreken van het posterieure stroma van het hoornvlies en het Descemetmembraan. Peters anomalie (PA) is een aangeboren aandoening van hoornvliesvertroebeling, gekenmerkt door een centraal hoornvliesleukoom dat de pupil obstrueert, wat leidt tot een verlies van het gezichtsvermogen
normal foetal growth	normale foetale groei
splenogonadal fusion	splenogonadale fusie
ascending colon	colon ascendens
CT shoulder region structure	CT-schouder
kluyveromyces wickerhamii	Kluyveromyces wickerhamii
trephine - action	trepanatie
vertebral foramen of axis	structuur van foramen vertebrale van vertebra cervicalis II
chronic renal failure	chronisch nierfalen
detection of chromosomal aneuploidy in prenatal amniotic fluid specimen using FISH screening technique	opsporing van aneuploïdie in prenatale liquor amnii met behulp van FISH
no substance type identified	geen type substantie geïdentificeerd
finding of ability to hear conversational voice	het vinden van het vermogen om de stem van een gesprek te horen
aegophony	aegofonie
blister of anus with infection	blaar van anus met infectie
primary malignant neoplasm of ethmoid bone	primair maligne neoplasma van os ethmoidale
cannot remember name of school	kan zich de naam van de school niet herinneren
physiological mobilization of the sternoclavicular joint	fysiologische mobilisatie van sternoclaviculair gewricht
aerosol inhalation monitor	aerosol-inhalatiemonitor
sufentanil measurement	bepalen van sufentanil
structure of lumen of tracheobronchial tree	lumen van tracheobronchiaalboom
product containing docusate in otic dose form	product dat docusaat in otische vorm bevat
pseudomonas zeshuii	Pseudomonas zeshuii
transient arthropathy of sternoclavicular joint	passagère artropathie van sternoclaviculair gewricht
entire branch of dorsalis pedis artery	gehele tak van arteria dorsalis pedis
tepidibacter thalassicus	Tepidibacter thalassicus
assessment of fear about death	evaluatie van doodsangst
suborder Actinomycineae	suborde Actinomycineae
entire ligament of thyroid cartilage	volledig ligament van schildkraakbeen
entire right lung	rechter long
hepatitis B surface antigen subtype ayr	hepatitis-B-'surface'-antigeen subtype ayr
brevibacterium oxydans	Brevibacterium oxydans
knee joint synovial fluid	synovia uit gewricht van knie
plasmocyte	plasmocytus
vascular structure of gastrointestinal tract	structuur van bloedvat van maag-darmkanaal
renal tubular epithelial cell	epitheelcel van niertubulus
duplicate terms ordered reference set	dubbele referentieverzameling van de bestelde termen
somatoform disorder	somatoforme stoornis
human leukocyte antigen DPw3	menselijk leukocytenantigeen DPw3
on examination - divergent squint	op onderzoek - divergerende scheelzienden
phosphide measurement	bepalen van fosfide
structure of extensor tendon of middle finger of left hand	pees van strekspier van linker digitus tertius manus
malignant neoplasm associated with AIDS	maligne neoplasma bij AIDS
cobalamin A disease	cobalamine-A-ziekte
genus Stigmatella	genus Stigmatella
autosomal dominant spastic paraplegia type 36	SPG36
lymphocyte positive for CD93 antigen	CD93-positieve lymfocyt
lesser curvature of pre-pylorus	kleine curvatuur van de prepylorus
fine needle biopsy of heart	FNAB cordis
monoparesis	monoparese
amfetamine aspartate	amfetamine aspartaat
infectious sialoadenitis of major salivary gland	infectieuze sialoadenitis van grote speekselklier
streptococcus pneumoniae or Streptococcus viridans group	aanwezigheid van Streptococcus pneumoniae of Streptococcus viridans-groep
inflamed tonsils	ontstoken tonsillen
dosulepin	dosulepine
ectopic parathyroid adenoma	ectopisch bijschildklieradenoom
cone beam CT guided insertion of drain into head	inbrengen van drain in hoofd onder geleide van spiraal-CT
infection by Parafilaroides	infectie door genus Parafilaroides
entire small blood vessel of dermis	geheel klein bloedvat van huid
glycyl-tyrosine dihydrate	glycyl-tyrosine dihydraat
electroencephalographic biofeedback which is alpha wave	biofeedbacktherapie op basis van elektro-encefalografie van alfaritme
structure of articular disc of right temporomandibular joint	structuur van discus articularis van rechter kaakgewricht
dislocatable hip	ontwrichtbare heup
anulus fibrosus of intervertebral disc of sixth lumbar vertebra	anulus fibrosus van discus intervertebralis van wervel L6
corneal ghost vessels	vaatschimmen van cornea
single sclerosing haemangioma of lung	solitair scleroserend hemangioom van long
fluoroscopy guided injection of thrombin into pseudoaneurysm of extremity	injectie van trombine in aneurysma spurium in extremiteit onder röntgendoorlichting
entire surface of cornea	gehele oppervlak van hoornvlies
family mobilization	mobiliseren van familie
anaemia due to oxygen	anemie door zuurstof
order Diptera	orde Diptera
lichen planus	lichen planus
sphincter ani internus muscle	musculus sphincter ani internus
oculopneumoplethysmography	oculopneumoplethysmografie
breast clinic	mammakliniek of -polikliniek
bladder ultrasound imaging system transducer	transducer voor echografieysteem voor blaas
entire retinaculum extensorum of hand	gehele retinaculum extensorum manus
connective tissue nevus	bindweefselnaevus
malignant neoplasm of cerebrum (excluding lobes and ventricles)	maligne neoplasma van grote hersenen met uitzondering van kwabben en ventrikels
entire pelvic aspect of sacrum	gehele pelviene aspect van heiligbeen
true excessive orbital separation	echte overmatige scheiding in de omloopbaan
recurrent acute suppurative otitis media of left ear with spontaneous rupture of tympanic membrane	spontane trommelvliesruptuur van linker oor gelijktijdig met en door recidiverende acute suppuratieve otitis media
head of phalanx of second toe	caput phalangis van digitus secundus pedis
congenital dysgenetic ptosis	congenitale dysgenetische ptosis
decubitus care	decubituszorg
leiomyomatous neoplasm - category	leiomyomateus neoplasma - categorie
tiwa language	Tiwa-taal
congenital malposition of lumbar vertebra	aangeboren afwijkende ligging van lumbale wervel
assessment using eating disorder examination questionnaire	beoordelen met EDE-Q
light touch sensation present	fijne tastzin aanwezig
teres major muscle	musculus teres major
brain contusion with open intracranial wound which is with no loss of consciousness	contusie van hersenen met open intracraniële wond zonder bewustzijnsverlies
skin - benign mole and naevus	goedaardige moedervlek en naevus van huid
meibomianitis of left eyelid	meibomianitis van linker ooglid
shewanella hanedai	Shewanella hanedai
donor renal transplantation	transplantatie van donornier
desipramine measurement	bepalen van desmethylimipramine
operation on bone injury of humerus	operatie van letsel van humerus
structure of inner surface of rib	structuur van binnenzijde van costa
chronic hepatitis E	chronische hepatitis E
function pulmonary artery oxygen saturation waveform	functie longslagader zuurstofverzadiging golfvorm
sampling of vagina for Papanicolaou smear after hysterectomy for malignant disease	afname van monster uit schede met Pap-smear na hysterectomie voor maligniteit
second degree burn of neck	tweedegraads brandwond van hals en/of nek
spinal percutaneous cordotomy	percutane spinale chordotomie
partial lateral laryngectomy	partiële verticale laterale laryngectomie
removal of wart	verwijderen van verruca
medial collateral ligament complete tear, knee	totale ruptuur van MCL van knie
referral for spirometry reversibility test	verwijzen voor reversibiliteitstest door middel van spirometrie
free-standing general surgery clinic	zelfstandig behandelcentrum voor algemene chirurgie
brevibacterium pityocampae	Brevibacterium pityocampae
type I dentin dysplasia	DD-I - dentinedysplasie type I
accident due to liquid air	ongeval door vloeibare lucht
telangiectasia due to venous hypertension	teleangiëctasie door veneuze hypertensie
radioisotope scan of whole body for localisation of inflammation	scintigrafie van gehele lichaam voor lokalisatie van inflammatie
entire pharyngeal cavity	gehele keelholte
dressing patient	aankleden van patiënt
congenital pulmonary hypoplasia due to prolonged premature rupture of membranes	congenitale hypoplasie van long door langdurig prematuur gebroken vliezen
anterior longitudinal ligament	ligamentum longitudinale anterius
transluminal intracardiac echocardiography	transluminale intracardiale echocardiografie
entire lateral articular facet of patella	geheel lateraal gewrichtsvlak van patella
entire fascia of buttock	gehele fascie van bil
bowel-bypass syndrome	bowel-bypass syndrome
isolated growth hormone deficiency - autosomal dominant	Niet-verworven geïsoleerde groeihormoondeficiëntie
nipple normal colour	nippel normale kleur
abnormal foetal heart rate	afwijkende foetale hartfrequentie
forced expiratory volume in one second/Forced vital capacity less than 70% of predicted	geforceerd expiratoir volume in een seconde/geforceerde vitale capaciteit: minder dan 70% van verwachte waarde
family history of cholecystctomy	cholecystectomie in familieanamnese
radiofrequency denervation of spinal facet joint of cervical vertebra	radiofrequente facetdenervatie van cervicale wervel
urinary catheter care education	educatie over blaaskatheterzorg
misoprostol	misoprostol
gonococcal infection of the central nervous system	infectie van CZS door Neisseria gonorrhoeae
scalp vein	vene van behaarde hoofdhuid
complex reconstruction of thumb	complexe reconstructie van digitus primus manus
product containing emicizumab in parenteral dosage form	product dat emicizumab in parenterale vorm bevat
anesthesia for tympanotomy	anesthesie voor myringotomie
after-cataract with vision obscured	nastaar met visusbeperking
structure of lacus lacrimalis	structuur van lacus lacrimalis
product containing lanthanum	product dat lanthaan bevat
congenital prolapse	aangeboren verzakking
acute bronchitis co-occurrent with wheeze	acute bronchitis gelijktijdig met 'wheezing'
left ventricular wall hypokinetic	hypokinetische linkerventrikelwand
complement 1r deficiency	C1r-deficiëntie
vitamin-rich diet	vitaminerijk dieet
exercise-related amenorrhea	amenorroe door sporten
structure of ostium of inferior vena cava	structuur van ostium venae cavae inferioris
closed fracture subluxation of foot	gesloten subluxatiefractuur van voetgewricht
gonadal mosaicism	mozaïcisme in gonadale cellijn
percutaneous mechanical thrombectomy of superior vena cava using fluoroscopic guidance	percutane mechanische trombectomie van bovenste holle ader onder doorlichting
open fracture of multiple sites of phalanges of hand	open multipele fracturen van falangen van de hand
trisomy 20 mosaicism	Trisomie 20 mozaïcisme
autosomal dominant ichthyosis	autosomaal dominante ichthyosis
osteogenesis imperfecta with blue sclerae and dentinogenesis imperfecta	osteogenesis imperfecta met blauwe sclerae en dentinogenesis imperfecta
benign neoplasm of bone	benigne neoplasma van bot
fifth intercostal nerve	structuur van vijfde intercostale zenuw
paecilomyces	Paecilomyces
mobility deficit education	voorlichten over mobiliteitsstoornis
referral to hearing aid service	verwijzen naar audicien voor hoortoestel
insecticide poisoning	insectenvergiftiging
helium+oxygen cylinder	helium+zuurstofcilinder
syringocystadenoma papilliferum	huidkleurige tot roze knobbeltjes of plaques met een zeer variabele verschijningsvorm en meestal gesitueerd op het hoofd of in de nek. Syringocystadenoma papilliferum (SCAP) is een zeldzaam niet-kwaadaardig neoplasma van de zweetklieren, en wordt gekarakteriseerd door asymptomatische
adjust maxillary obturator	aanpassen van maxillaire obturatorprothese
cardio-oesophageal X-ray	röntgenonderzoek van gastro-oesofageale sfincter
infection by Cotugnia	infectie door Cotugnia
product containing precisely choline bitartrate 25 milligram and dexpanthenol 50 milligram/1 each conventional release oral tablet	product dat precies cholinebitartraat 25 milligram en dexpanthenol 50 milligram/1 elke conventionele orale tablet bevat
myoporum serratum	Myoporum serratum
operative duodenoscopy	operatieve duodenoscopie
resection of omentum	excisie van omentum
rosette-forming glioneuronal tumour	rozetvormende neuronale-gliale tumor
parietal lobe epilepsy	epilepsie vanuit pariëtale kwab
campylobacter species which is not Campylobacter jejuni	anders dan Campylobacter jejuni Campylobacter spp.
salmonella IIIa 63:z4,z32:-	Salmonella IIIa 63:z4,z32:-
cutaneous fluke infection	infectie van huid door zuigworm
entire mesoappendix	gehele mesoappendix
arthrotomy of sternoclavicular joint for infection with exploration	artrotomie met exploratie van sternoclaviculair gewricht vanwege infectie
drainage of breast cyst	drainage van mammacyste
accident caused by noxious fumes from conflagration in private dwelling	ongeval veroorzaakt door schadelijke dampen van vuurzee in privéwoning
ultrasonography of pelvis and both lower limbs	echografie van bekken en beide onderste extremiteiten
severe hereditary factor VIII deficiency disease with inhibitor	ernstige hereditaire factor VIII-deficiëntieziekte met inhibitor
salmonella 13,22:a:e,n,x	Salmonella 13,22:a:e,n,x
lunula	lunula
osteotomy of clavicle with internal fixation	osteotomie van clavicula met interne fixatie
human parechovirus 6	humaan parechovirus 6
postural nystagmus	positionele nystagmus
revision of laser foraminoplasty of lumbar spine	revisionele lumbale laserondersteunde foraminoplastiek
disease caused by Calicivirus	infectieziekte door calicivirus
injury of radial nerve	letsel van nervus radialis
sputum induction technique	toepassen van techniek voor mucusklaring
extracorporeal assistance to liver	toepassen van leverdialyse
muscle flap to extremity	transplantatie van spierlap naar extremiteit
reserpine	reserpine
subcutaneous tissue of plantar surface of fifth toe	onderhuids vet- en bindweefsel van plantair oppervlak van digitus minimus pedis
structure of fascia of lower limb fascial compartment	fascie van fasciaal compartiment van onderste ledemaat
congenital absence of larynx	congenitale afwezigheid van strottenhoofd
general radiation therapy consultation and report	algemeen consult en rapport over radiotherapie
pneumatic craniotomy system handpiece	handvat voor pneumatisch craniotomie-instrument
poisoning by ampicillin	vergiftiging door ampicilline
ambulatory blood pressure recording	ambulante bloeddrukmeting
assessment using SINBAD (Site, Ischemia, Neuropathy, Bacterial Infection which is Area and Depth) classification	beoordelen met SINBAD-classificatie
salmonella enterica subsp. enterica ser. Niumi	Salmonella enterica subspecies enterica serovar Niumi
entire genital system	gehele systema genitale
mycoplasma alligatoris	Mycoplasma alligatoris
desquamative gingivitis	desquamatieve ontsteking van gingiva
hereditary elliptocytosis due to glycophorin C deficiency	hereditaire elliptocytose door deficiëntie van glycoforine C
penicillium cyclopium toxicosis	Penicillium cyclopium toxicosis
may-Thurner syndrome	syndroom van May-Thurner
demodex phylloides	Demodex phylloides
seen by hematology service	gezien door hematologiedienst
percutaneous thrombolysis of vascular graft of upper limb using fluoroscopic guidance	fluoroscopisch geleide percutane trombolyse van vasculaire graft in bovenste extremiteit
left ventricle apical anterior segment	apicaal anterieur segment van linker hartkamer
subfamily Strigopinae	onderfamilie Strigopinae
endoscopic destruction of coeliac plexus using ultrasound guidance	endoscopische destructie van plexus coeliacus onder echogeleide
foetal lateroflexion	foetus in lateroflexie
sprain of metatarsophalangeal joint of lesser toe	exclusief digitus I verzwikking van articulatio metatarsophalangea van digitus pedis
entire olfactory gland	volledige olfactorische klier
open wound of cochlea without complication	wond van cochlea zonder complicatie
infection by Fimbriaria	infectie door Fimbriaria
autosomal recessive spastic paraplegia type 11	autosomaal recessieve spastische paraplegie type 11
needle sharpener	naaldslijper
