gastric aspirate present	ventrikelaspirat påvist
neonatal abstinence syndrome	neonatalt abstinenssyndrom
arthroscopic washout of knee joint	Artroskopisk udskylning af knæled
cerebrospinal fluid IgG measurement	måling af IgG i cerebrospinalvæske
incisional biopsy of uterus	Incisionsbiopsi fra uterus
whole chromosome trisomy syndrome	ikke nærmere specificeret helt kromosom-trisomi-syndrom
unspecified cystoscopy and transurethral resection of bladder lesion	Uspecificeret cystoskopi og transuretral resektion af morfologisk forandring i blæren
genital structure	genitalstruktur
accidentally struck by falling street furniture	ramt af faldende vejudstyr ved hændeligt uheld
female genital system contrast procedure	undersøgelse af det kvindelige reproduktionsapparat med kontrast
dihydrocodeine tartrate 10mg/5mL elixir	dihydrocodeintartrat 10 mg/5 ml oral opløsning
hyperplasia of maxillary bone	hyperplasi af maxilla
intra-arterial infusion	intraarteriel infusion
prednisone 5 mg oral tablet	prednison 5 mg tablet
hand stretching	strækning af hånd
region of prostate	prostataregion
blastococcus aggregatus	Blastococcus aggregatus
placental function test abnormal	abnorm placentafunktionstest
intentional etoposide poisoning	tilsigtet forgiftning med etoposid
nitroglycerin 0.2mg/hr patch	nitroglycerin 0,2 mg/time depotplaster
cervical smear - severe dyskaryosis	cervixsmear - svær dyskaryose
lipase test	lipasetest
structure of third left aortic arch	struktur af 3. venstre arcus aortae
melanoma in situ of lower limb	Melanoma in situ i underekstremitet
radiolabeled Iodine 131 antibody study	undersøgelse med radioaktivt mærket jod-131-antistof
midline shift of brain	Midtlinjeforskydning af hjernen
structure of middle frontal sulcus	struktur af sulcus frontalis medialis
referral by gynaecologist	henvisning foretaget af gynækolog
Icelandic type hereditary cerebral amyloid angiopathy	islandsk type Hereditær cerebral amyloid angiopati
repositioning of biliary anastomosis prosthesis	repositionering af biliær anastomoseprotese
more than 6 cm in dimension pN3a: Metastasis in a lymph node(s)	udstrækning over 6 cm pN3a: Metastasering til lymfeknude(r)
unsafe exercise area	risikofyldt motionsområde
sauroplasma	Sauroplasma
percutaneous transluminal cutting balloon angioplasty of popliteal vein using fluoroscopic guidance	perkutan transluminal ballonangioplastik med aterotomer på vena poplitea ved anvendelse af røntgengennemlysning
thiamine oxidase	Thiaminoxidase
other placental conditions with antenatal problem	andre placentære tilstande med prænatalt problem
swallowing reflex finding	fund vedr. synkerefleks
ST4	ST4
discussion about ideal body weight	drøftelse af idealvægt
neoplasm of supraglottis	Neoplasme i supraglottis
phenylephrine hydrochloride 2.5% single-use eye drops	phenylephrinhydrochlorid 2,5 % øjendråber til engangsbrug
open wound of fingernail	Åbent sår i fingernegl
minor opacity of cornea	mindre korneal opacitet
residual body	restlegeme
min	min
normal supraglottis	Normal supraglottis
dextropropoxyphene	Dextropropoxyphen
repair of pulmonary arterial sling	udbedring af slynge på arteria pulmonalis
mycobacterium tuberculosis African II variant	Mycobacterium tuberculosis afrikansk II-variant
mammographic breast mass finding	udfyldning i mamma ved mammografi
biopsy of lesion of external nose	biopsi af morfologisk forandring på ydre næse
coagulase-negative staphylococcus	koagulase-negativ Staphylococcus
of the forearm periostitis without osteomyelitis	Periostit uden osteomyelit i underarm
leg pulses all present	benpuls  påvist i alle arterier
developmental body structure	legemsstruktur i udviklingsstadium
cystocele with second degree uterine prolapse	cystocele med uterusprolaps af 2. grad
neonatal oral candidiasis	neonatal candidiasis
streptococcus pyogenes type emm64	Streptococcus pyogenes type emm64
deficiency of lysophospholipase	lysophospholipasemangel
primary pulmonary hypertension	primær pulmonal hypertension
lymphatic (small vessel) tumor invasion finding	fund vedr. lymfatisk (lille kar) tumorindvækst
exanthem caused by measles virus	eksantem forårsaget af mæslingevirus
chromosome mosaicism	kromosommosaicisme
pilonidal sinus operation	Operation af pilonidalcyste
estriol 1 mg oral tablet	estriol 1 mg tablet
allergen specific IgM antibody measurement	måling af allergenspecifikt IgM-antistof
suturing of atrioventricular valve	Suturering af atrioventrikulærklap
16p partial trisomy syndrome	partiel trisomi 16p-syndrom
on examination - vaginal examination - cervical dilatation	objektivt: vaginal undersøgelse - cervixdilatation
protein nitrogen measurement	måling af proteinnitrogen
low immunologic affinity	lav immunlogisk affinitet
salmonella nijmegen	Salmonella Nijmegen
other specified total prosthetic replacement of hip joint using cement	anden specificeret cementeret total protetisk erstatning af hofteled
sole of footwear too thin	Sål på fodtøj for tynd
on tuberculosis chemoprophylaxis	På tuberkulosekemoprofylakse
posterolateral cervical lymph node group	posterolateral cervikal lymfeknudegruppe
co-trimoxazole 80mg/400mg dispersible tablet	co-trimoxazol tablet 80 mg/400 mg dispergibel
mycobacterium liflandii	Mycobacterium liflandii
struck by building collapse	ramt af sammenstyrtende bygning
oesophagogastrectomy	øsofagogastrektomi
after food	efter mad
keratan-sulfate endo-1,4-beta-galactosidase	Keratansulfat-endo-1,4-beta-galactosidase
excision of rectum with anastomosis of colon to anus and creation of colonic reservoir	excision af rectum og anlæggelse af anastomose mellem colon og anus samt colonreservoir
greek Catholic Church	Den græskkatolske kirke
translucency of iris	Translucens af iris
peptic stricture of oesophagus	Peptisk striktur af oesophagus
gigantobilharzia	Gigantobilharzia
stool culture cryptosporidium positive	dyrkning på afføring positiv for Cryptosporidium
benign essential hypertension complicating pregnancy which is childbirth and the puerperium - delivered	barn født benign essentiel hypertension, der komplicerer graviditet, fødsel og puerperium
chlorazanil	Chlorazanil
ciprofloxacin hydrochloride 500 mg oral tablet	ciprofloxacinhydrochlorid 500 mg tablet
antipyretic	Antipyreticum
paediatrics	pædiatri
escharotomy	Escharotomi
difficulty putting on prosthesis	besvær med at sætte protese på
patient dependence on	patientafhængighed af
nalidixinic acid	Nalidixinsyre
active finger extension splint	skinne til aktiv ekstensionsbehandling af anden finger end tommelfinger
meningeal cyst	Meningeal cyste
hyperplastic polyp of intestine	Hyperplastisk tarmpolyp
salmonella pullorum	Salmonella Pullorum
clostridium fimetarium	Clostridium fimetarium
purulent amniotic fluid	Purulent amnionvæske
caulobacter crescentus	Caulobacter crescentus
bacillus anthracis - Sterne strain	Bacillus anthracis - Sterne-stamme
pterygium	Pterygium
ectopic female breast	ektopisk mamma hos kvinde
anxiety about collapsing	Angst for at få kollaps
arthrotomy with drainage of interphalangeal joint of toe	Artrotomi med drænage af interfalangealt tåled
subtotal prostatectomy	Subtotal prostatektomi
number of stenoses	Antal stenoser
risk factors in pregnancy	Risikofaktorer ved graviditet
21 weeks gestation period	21 uger Gestationsalder
paracetamol 500 mg and hydrocodone bitartrate 5 mg oral tablet	paracetamol 500 mg + hydrocodonbitartrat 5 mg tablet
creation of esophagostomy	anlæggelse af øsofagostomi
savary Miller scale	Savary-Miller-skalaen
tuberculous empyema	Tuberkuløst empyem
entire retroperitoneal region which is excluding major organs	retroperitonealregion som helhed eksklusive større organer
immunoglobulin IgG>1<	Immunglobulin Ig>1<
Thursday and Saturday three times a week on Tuesday	torsdag og lørdag tre gange om ugen tirsdag
hoffman modulator of optical microscope	Hoffman-modulator til optisk mikroskop
open wound of neck nape	åbent sår i nakke
ascetospora AND/OR oomycetes phyla microspora, myxozoa	ascetospora OG/ELLER oomycetes Phyla microspora, myxozoa
diagnostic procedure on thalamus	Diagnostisk indgreb på thalamus
cortex laceration without open intracranial wound AND with moderate loss of consciousness	Laceration af cortex uden åbent intrakranielt sår OG med moderat bevidstløshed
spinal cord sulcus	sulcus i rygmarv
number of dependants in household	som forsørges Antal personer i husstanden
entire compartment of thigh	muskelloge som helhed i lår
hypometabolism	Hypometabolisme
found dead	fundet død
thioridazine hydrochloride 200mg tablet	thioridazinhydrochlorid 200 mg tablet
laryngeal intubation for inhalation	laryngal intubation mhp. inhalation
entire deep lingual vein	dyb vena lingualis som helhed
posterior border of thyroid lamina	posteriore rand på lamina i thyroidea
accidentally caught in conveyer belt	fanget i transportbånd ved hændeligt uheld
cinacalcet	cinacalcet
entire external limiting membrane of retina	membrana limitans externa som helhed i retina
nardi test	Nardi-test
mental health treatment	psykisk behandling
arsenic product	arsenprodukt
entire dorsal intermediate cutaneous nerve of foot	dorsal intermediær kutan nerve som helhed i fod
structure of pubovesicalis muscle	struktur af musculus pubovesicalis
edward's syndrome	ikke nærmere specificeret Edwards syndrom
tenodesis for rupture of long tendon of biceps	tenodese for ruptur af biceps brachiis caput longum-sene
removal of embolus from intracranial artery	Fjernelse af embolus fra intrakraniel arterie
blakely dyspraxia assessment	Blakelys dyspraksivurdering
specimen for identification	prøve til identifikationsformål
ultrasonography of toe with contrast	ultralydsundersøgelse af tå med kontrast
edge to edge occlusion of teeth	Kant-til-kant okklusion af tænder
transplantation of superior rectus tendon for blepharoptosis	Transplantation af ptosis palpebrae superioris vha. rectus superior-senetransplantat
infection by Pneumocystis carinii	infektion med Pneumocystis carinii
open injection sclerotherapy to oesophageal varices	Åben injektion af skleroterapi i oeosophagusvaricer
number of joints involved	Antal involverede led
balantidium coli	Balantidium coli
excision of lesion of soft tissue	Excision af bløddelslæsion
total measurement bilirubin	total måling bilirubin
follitropin alfa 600units/mL injection solution 3mL prefilled pen	opløsning i fyldt pen a 3 ml follitropin alfa 600 enheder/ml injektionsvæske
termination of pregnancy contraindicated	afbrydelse af graviditet kontraindiceret
structure of subtendinous bursa of subscapularis muscle	struktur af bursa subtendinea musculi subscapularis
secondary malignant neoplasm of bronchopulmonary lymph nodes	Sekundært malignt neoplasme i bronkopulmonale lymfeknuder
fourth revised edition	4. reviderede udgave
acute meningococcaemia	Akut meningokokbakteriæmi
tenosynovitis of foot	Tendovaginit i fod
decreased stratum corneum adhesiveness	Nedsat klæbeevne i stratum corneum
rose bengal staining of eye	rose bengal-farvning af øje
heating and ventilation equipment operator	operatør af opvarmnings- og ventilationsudstyr
benign neoplasm of stomach	ikke nærmere specificeret benignt neoplasme i mavesækken
wide cranial sutures	Brede kranielle suturer
basic life support	grundlæggende livsbevarende procedure
third degree burn of mandibular vestibule	Tredjegradsforbrænding i mandibulært vestibulum
subluxation of tendon which is wrist or hand	Subluksation af sene i håndled eller hånd
library AND/OR filing clerk	biblioteks- OG/ELLER arkivmedarbejder
american standard wire gauge	American standard wire gauge
knowledge level: fall prevention	vidensniveau mht. forebyggelse af fald
abrasion AND/OR friction burn of testis without infection	abrasion OG/ELLER friktionsforbrænding af testis uden infektion
t8/T9 ligamentum flavum	ligamentum flavum mellem T8 og T9
ten	ti
lactobacillus fornicalis	Lactobacillus fornicalis
inotropic agent	Inotropt middel
keratometry	Keratometri
inhalation and ingestion of food causing obstruction of respiratory tract or suffocation	inhalation og indtagelse af føde, der forårsager obstruktion af luftveje eller kvælning,
percutaneous radiofrequency ablation of long saphenous vein using fluoroscopic guidance	perkutan radiofrekvensablation af vena saphena magna ved anvendelse af røntgengennemlysning
other closed reduction of fracture of bone	Anden lukket reponering af knoglefraktur
born in Norway	født i Norge
varicella-zoster virus antibody IgG measurement	IgG måling af varicella-zoster-virus-antistof
retinal vasculitis due to systemic lupus erythematosus	Retinal vaskulit forårsaget af systemisk lupus erytematosus
soft tissue release for correction of congenital deformity of midfoot	løsning af bløddele mhp. korrektion af kongenit deformitet af mellemfod
psychogenic dysmenorrhea	Psykogen dysmenoré
neoplasm of lateral wall of nasopharynx	neoplasme i laterale væg af pars nasalis pharyngis
fetus or neonate affected by varices of cord	Foster eller nyfødt påvirket af varicer i navlesnor
full thickness burn of multiple sites of lower leg	fuldhudsforbrænding af multiple lokalisationer på underben
n3: Metastasis with a lymph node mass > 5 cm in greatest dimension	N3: metastase med en lymfeknudeudfyldning over 5 cm i største udstrækning
denervation of trigeminal nerve	denervering af nervus trigeminus
semen volume good: 2-5 ml.	Sædvolumen god: 2-5 ml
third degree burn injury	forbrændingsskade af tredje grad
cidofovir 75mg/mL infusion concentrate 5mL vial	hætteglas a 5 ml cidofovir 75 mg/ml koncentrat til infusionsvæske
tetrahydrozoline hydrochlori 0.1% spray	tetrahydrozolinhydrochlorid 0,1 % spray
benign neoplasm of tonsillar pillar	Benignt neoplasme  i ganebue
entire upper border of eighth rib	øvre rand som helhed på 8. costa
tumour of nasal sinus	neoplasme i bihule
secondary impotence	Sekundær impotens
prostatic fluid sample	prøve af prostatavæske
congenital adrenal hyperplasia	Kongenit adrenal hyperplasi
disease of lymphoid system	Sygdom i det lymfoide system
cefalexin 250mg capsule	cefalexin 250 mg kapsel
g-6-PD class V variant anaemia	G-6-PD klasse V variant anæmi
ultrasonic guidance for thoracentesis	ultralydsvejledt  pleurocentese
duration tourniquet in place	Varighed af tourniquetanvendelse
inquilinus limosus	Inquilinus limosus
salmonella colindale	Salmonella Colindale
ligation of venous connection between anomalous vein and left innominate vein	underbinding af venøs forbindelse mellem anomal vene og venstre vena brachiocephalica
except for tumour partial excision of lacrimal gland	undtagen tumor Partiel excision af tårekirtel
SARS coronavirus HZS2-C	SARS-coronavirus HZS2-C
jejunal epithelium	jejunumepitel
healed perforation of ear drum	Ophelet perforation af trommehinden
injection into sacral epidural space	injektion i sakrale epiduralrum
cartilaginous hamartoma	kartilaginøst hamartom
intranasal influenza live virus vaccine 0.5mL	levende influenzavirus-vaccine til intranasal anvendelse 0,5 ml
ultrasound scan of parathyroid	ultralydsundersøgelse af parathyroidea
cicatricial alopecia caused by ionising radiation	Cikatriciel alopeci forårsaget af ioniserende stråling
estrone measurement	måling af estron
hypertrophic glandular gastritis	Hypertrofisk glandulær gastrit
solid prosthetic ligament	massivt protetisk ligament
irradiated blood product	bestrålet blodprodukt
active range of lumbar spine left rotation	Bevægeudslag ved aktiv venstrerotation af lænderygsøjlen
allergy to carbenicillin	allergi over for carbenicillin
latrodectus geometricus	Latrodectus geometricus
thelarche finding	Fund vedr. thelarchen
discharge from community paediatric service	udskrivelse fra lokal pædiatrisk behandling
deficiency of histidine decarboxylase	histidindecarboxylasemangel
timed up and go mobility test score	score på Timed up and go-mobilitetstest
peripheral degeneration of retina	Perifer degeneration af retina
chick pea specific IgE antibody measurement	bestemmelse af allergenspecifikt IgE mod kikært
penicillamine 250 mg oral capsule	penicillamin kapsel a 250 mg
on examination - lens	objektivt: linse
appearance of nail	Negls udseende
release for tenosynovitis of external pollicis brevis	løsning af tendosynovit i ekstern pollicis brevis
macroencephaly	Makroencefali
blood porphyrin measurement	måling af porphyrin i blod
angiolupoid type sarcoidosis	angiolupoid type sarkoidose
antimetabolite adverse reaction	bivirkning af antimetabolit
jackson's membrane	Jacksons membran
metronidazole 250mg tablet	metronidazol tablet 250 mg
polyethylene glycol electrolyte solution	polyethylenglycolelektrolytopløsning
skin structure of palmar area of hand	hudstruktur i håndflade
prophylactic treatment of clavicle with methyl methacrylate	Profylaktisk behandling af clavicula med methylmethacrylat
checking patency of urinary catheter tubing	kontrol af fri passage gennem urinkateterslange
salmonella IIIa 35:z29:-	Salmonella IIIa 35:z29
lasegue test response	Respons på Lasègues test
pyogenic arthritis of unspecified site	pyogen artrit uden specificeret lokalisation
lymphocytic hypopituitarism	lymfocytær hypopituitarisme
platelet count below reference range at birth	trombocyttal under referenceinterval ved fødslen
amniotic fluid chemistry: abnormal	amnionvæskekemi: abnorm
entire superficial popliteal lymph node	overfladisk popliteal lymfeknude som helhed
division of mandible	deling af mandibula
descending colon injury without mention of open wound into cavity	traumatisk læsion af colon descendens uden angivelse af åbent sår ind til bughulen
closed medial dislocation of proximal end of tibia	Lukket medial luksation af proksimal ende af tibia
structure of middle temporal vein	struktur af vena temporalis media
other disproportion unspecified	uspecificeret Mekanisk misforhold af anden årsag
african horse sickness virus 6	African horse sickness-virus 6
fistula	fistel
packing rectal sinus	Tamponering af sinus anales
referral to doctor	Henvisning til læge
entire ethmoidal artery	arteria ethmoidalis som helhed
level unspecified closed fracture of lower limb	uspecificeret niveau lukket fraktur i underekstremitet
open subluxation of thoracic and lumbar vertebra	ikke nærmere specificeret Åben subluksation af bryst- og lændehvirvel
antibiogram typing	antibiogramtypebestemmelse
structure of lingual cusp	struktur af lingval kusp
size of mesh	størrelse af net
triglyceride and ester in VLDL measurement	måling af triglycerid og ester i VLDL
invasion of neoplasm to visceral peritoneum	neoplasmaindvækst i peritoneum viscerale
psoriasis of vulva	Psoriasis i vulva
procedure	procedure
vertebral actinomycosis	Vertebral strålesvamp
stannard staging system for retinoblastoma	Stannards stadieinddelingssystem for retinoblastom
levy spinal needle	Levy-spinalkanyle
refractive keratoplasty by laser surgery	Refraktiv keratoplastik med laserkirurgi
squamous cell carcinoma with horn formation	planocellulært karcinom med horndannelse
iron+folic acid	jern + folsyre
abscess of nasal septum	Absces på septum nasi
streptococcus pyogenes type emm23	Streptococcus pyogenes type emm23
o/E: pigment gallstone	objektivt: pigmentgaldesten
synesthesia	synæstesi
backache	Rygsmerter
provisional shigella 3065-93	provisorisk Shigella 3065-93
valvuloplasty of pulmonary valve in total repair of tetralogy of Fallot	valvuloplastik af pulmonalklappen ved total udbedring af Steno-Fallots tetralogi
entire stratum lemnisci of corpora quadrigemina	stratum lemnisci som helhed i corpora quadrigemina
structure of right auricular appendage	struktur af auricula dextra
general appraisal of patient weight	generel vurdering af patientvægt
salmonella II humber	Salmonella II humber
cilazapril allergy	allergi over for cilazapril
suprasellar extension	suprasellær udbredelse
entire oesophageal lumen	den øsofageale lumen som helhed
salmonella vancouver	Salmonella Vancouver
referral to pharmacist	Henvisning til farmaceut
gomphus	Gomphus
propionimicrobium lymphophilum	Propionimicrobium lymphophilum
betamethasone + neomycin	betamethason + neomycin
denervation of spinal facet joint of thoracic vertebra NEC	ikke klassificeret andetsteds Denervering af spinalt facetled af brysthvirvel
anterior colporrhaphy and amputation of cervix uteri NEC	Forreste vaginalplastik med collumamputation
closed traumatic subluxation of tarsometatarsal joint	Lukket traumatisk subluksation af tarsometatarsalled
monocyte finding	fund vedr. monocytter
double column transverse open fracture acetabulum	begge søjler Åben tværfraktur af acetabulum
synovial joint structure	synovial ledstruktur
colpocleisis	Kolpokleisis
plasmodium fallax	Plasmodium fallax
abnormal findings on antenatal screening of mother	Abnorme fund ved prænatal screening
denture too bulky	Tandprotese for tyk
respiratory fluticasone	fluticason til respirationssystemet
smooth muscle	Glat muskulatur
vaginal hysterectomy with repair of enterocele	vaginal hysterektomi med operation for enterocele
phlegmonous dacryocystitis	Flegmonøs dakryocystit
abnormal gastric acidity	Abnorm gastrisk aciditet
anal and rectal skin tags	ikke nærmere specificeret anale og rektale  akrokordoner
finding of appearance of skin	fund vedr. hudens udseende
ethopropazine hydrochloride	Ethopropazinhydrochlorid
specimen from lung obtained by major airway resection	prøve fra lunge indhentet ved resektion af større luftvej
meloxicam 15 mg rectal suppository	meloxicam 15 mg suppositorium
4.5 year examination not wanted	4,5-årsundersøgelse ikke ønsket
faecal coproporphyrin level	coproporphyrinniveau i fæces
acne with gram negative folliculitis	akne med follikulit forårsaget af gramnegative bakterier
malignant tumour involving prostate by separate metastasis from bladder	Malign tumor med prostatainvolvering ved separat metastase fra blæren
tendon of hamstring muscle	sene fra hasemuskel
pyrodictium occultum	Pyrodictium occultum
thioalkalimicrobium	Thioalkalimicrobium
salmonella sanga	Salmonella sanga
myringitis	Myringit
on examination - vesical uric acid calculus	objektivt: urinsyresten i blære
paracetamol + propoxyphene napsylate 325mg/50mg tablet	paracetamol 325 mg + propoxyphennapsylat 50 mg tablet
reactive airways dysfunction syndrome	Reaktiv luftvejsdysfunktionssyndrom
electrical carotid sinus stimulation	Elektrisk carotid sinusstimulation
self-administration of antibiotic therapy at home	selvadministration af antibiotikabehandling i hjemmet
entire costal groove of sixth rib	sulcus som helhed på 6. costa
communications technician - Royal Navy	kommunikationstekniker - søværnet
TE23	TE23
therapeutic sacral epidural injection	terapeutisk sakral epiduralinjektion
acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase	acetylgalactosaminyl-O-glycosylglycoprotein-beta-1,3-N-acetylglucosaminyltransferase
ulcers of male genital organs	ulcerationer på mandlige kønsorganer
primary IgA nephropathy	primær IgA-nefropati
shoulder joint crepitus palpable	Palpabel krepitation i skulderled
epididymal cyst	epididymiscyste
human rhinovirus 114	humant rhinovirus 114
border of third rib	rand på 3. costa
IU per unit time	IE pr. tidsenhed
contusion of trachea	Kontusion af trachea
entire myocardium of inferior surface of left ventricle	myokardiet som helhed i venstre ventrikels inferiore flade
entire head of seventh rib	caput som helhed på 7. costa
special urinary test normal	særlig urintest normal
antiepileptic adverse reaction	bivirkning af antiepileptikum
hypopituitarism due to pituitary tumour	Hypopituitarisme på grund af tumor i hypofyse
calamine adverse reaction	bivirkning af calamin
lamina propria mucosae	lamina propria i slimhinde
age-related changes in iris	Aldersrelaterede forandringer i iris
murmur timing	tidspunkt for mislyd
fear of birds	frygt for fugle
unable to undo clothes fastenings	ude af stand til at knappe/lyne tøj op
reduction of closed traumatic hip dislocation with anaesthesia	med anæstesi Reponering af lukket traumatisk hofteluksation
disorder characterised by back pain	sygdom karakteriseret ved rygsmerter
syncope and collapse	synkope og kollaps
mozambiquans	mozambiquisk
roseiflexus	Roseiflexus
inhalant-induced persisting dementia	Inhalationsmiddelinduceret persisterende demens
dilatation - action	Dilatation  handling
operative procedure on mouth region	Operativt indgreb på mundregionen
i series prostaglandin	prostaglandin af I-serien
low intracranial pressure	Lavt intrakranielt tryk
removal of biliary anastomosis prosthesis	Fjernelse af biliær anastomoseprotese
forgets what has just heard	glemmer det netop hørte
psychiatric somatotherapy	Psykiatrisk somatoterapi
fungi/Metazoa group	Fungi/Metazoa-gruppen
fixation of fracture using cannulated screws	fiksering af fraktur med kanylerede skruer
occupant of spacecraft injured fall from aircraft, not due to an accident to aircraft	person i rumfartøj kvæstet fald fra fly, ikke forårsaget af skade på fly
open fracture of middle AND/OR proximal phalanx of finger	åben fraktur af mellemphalanx OG/ELLER proksimal phalanx i anden finger end tommelfinger
basal cell carcinoma of back	basalcellekarcinom på ryggen
chronic infective arthritis	Kronisk infektiøs artrit
deficiency of pyrophosphotransferase	pyrophosphotransferasemangel
FIGO staging system for epithelial tumor of ovary	FIGO-stadieinddelingssystem for epetelial ovarietumor
nasopharyngeal catheter	nasofaryngalkateter
rectal suppository	suppositorium til rektal anvendelse
static recoil curve of lungs	lungernes statiske recoil-kurve
anaplastic thyroid carcinoma	anaplastisk karcinom i thyroidea
skin structure of medial malleolus	struktur af hud på mallolus medialis
non-odontogenic developmental cyst of jaw	udviklingsrelateret ikke-odontogen cyste i kæbe
snare resection of lesion - large intestine	Slyngeresektion af morfologisk forandring i tyktarm
structure of posterior tibiofibular ligament	struktur af det posteriore tibiofibulære ligament
sprain of ligament of lumbosacral joint	overstrækning af lumbosakralligament
alopecia febrilis	Febril alopeci
sclerosing angioma	Skleroserende angiom
sodium in sample	natrium i prøve
television camera operator	tv-kameraoperatør
middle-age	Midaldrende
gram meter	grammeter
structure of superior tarsal muscle	struktur af musculus tarsalis superior
structure of mandibular left lateral incisor tooth	struktur af venstresidige laterale incisiv i mandibula
fearful mood	frygtsom sindsstemning
sleep finding	fund vedr. søvnkvalitet
leech infestation	infestation med igler
prostatic haemorrhage endoscopic control	Endoskopisk kontrol af prostatisk blødning
impaired glucose tolerance test	nedsat glucosetolerancetest
removal of intraluminal device from arteriovenous fistula	fjernelse af intraluminalt udstyr i arteriovenøs fistel
disorder of isoleucine metabolism	forstyrrelse af isoleucinstofskiftet
LTM - Long-term memory	Langtidshukommelsespræstation
laceration of penis	laceration af penis
counseled by a counsellor	rådgivet af en rådgiver
surgical distal pancreatic margin involved by malignant neoplasm	distal resektionsrand i pancreas med involvering af malignt neoplasme
insertion of tunnelled central venous catheter using fluoroscopic guidance	indsættelse af tunnelleret centralvenøst kateter ved anvendelse af røntgengennemlysning
infection by Heterophyes heterophyes	infektion med Heterophyes heterophyes
3-isopropylmalate dehydratase	3-isopropylmalatdehydratase
surgical removal of residual tooth roots	Operativ fjernelse af residualtandrødder
high compliance bladder	Høj blærekomplians
lateral rectus recession	Tilbagetrækning af musculus rectus lateralis
injury of bronchus with open wound into thoracic cavity	traumatisk bronkielæsion med åbent sår ind i brysthulen
c4/C5 interspinous ligament	ligamentum interspinale mellem C4 og C5
open reduction of open acromioclavicular dislocation, chronic which is with fascial graft	åben reponering af kronisk åben akromioklavikulær luksation med fasciegraft
breast lump symptom	symptom på knude i mamma
deep third degree burn of abdominal wall with loss of body part	dyb tredjegradsforbrænding af abdominalvæggen med tab af underliggende strukturer
propionibacterium cyclohexanicum	Propionibacterium cyclohexanicum
chenodeoxycholic+ursodeoxycholic acid	chenodeoxycholsyre + ursodeoxycholsyre
e blood group typing	E blodtypebestemmelse
formation of conduit of right ventricle and pulmonary artery in repair of pulmonary artery atresia in truncus arteriosus	etablering af omledning af hjertets blodstrøm mellem højre ventrikel og arteria pulmonalis mhp. korrektion af transposition af arteria pulmonalis-atresi i truncus arteriosus
entire skeletal muscle of head and neck	skeletmuskel som helhed i hoved og hals
epistaxis control	ikke nærmere specificeret Kontrol af epistaxis
candidiasis of trachea	Candidiasis i trachea
with more than 24 hours loss of consciousness without return to pre-existing conscious level hind brain laceration with open intracranial wound	med mere end 24 timers bevidstløshed uden tilbagevenden til forudgående bevidsthedsniveau laceration af cerebellum med åbent intrakranielt sår
entire anterior surface of lower extremity	anteriore overflade som helhed på underekstremitet
abyssinians	amharaabessinsk
relaxed	afslappet
social evaluation for rehabilitation	social vurdering mhp. rehabilitering
salmonella II 59:k:(z)	Salmonella II 59:k:(z)
cutaneous disorders of Yaws	Kutane forstyrrelser ved framboesia
thyroid disease treatment started	behandling af thyroideasygdom påbegyndt
structure of non-articular part of tubercle of eighth rib	struktur af ikke-artikulær del af tuberculum på 8. costa
excision of peripheral neuroma	Excision af perifert neurom
ergosterol preparation	ergosterolpræparat
decreased range of ankle movement	Reduceret bevægeudslag i ankel
8q partial trisomy syndrome	Partiel trisomi 8q-syndrom
hunger contractions type III	sultkontraktioner type III
structure of arterial rete of dorsal wrist	struktur af rete articulare i dorsale del af håndled
infection by Cooperia curticei	Infektion med Cooperia curticei
entire choanae	choanae som helhed
skin of part of shoulder	hud på del af skulder
salmonella IIIb 61:k:1,5,(7)	Salmonella IIIb 61:k:1,5,(7)
aberrant intrinsic muscles of hand	aberrerende intrinsikke håndmuskler
smallpox vaccine injection solution vial	hætteglas koppevaccine injektionsvæske, opløsning
entire clavicle	clavicula som helhed
lymphoma stage III	Lymfomstadium III
coventry tibial osteotomy	tibiaosteotomi ad modum Coventry
sputum abnormal - odour	ekspektorat abnormt: lugt
sighing respiration	Sukkende respiration
anteroposterior inverted	anteroposteriort inverteret
spironolactone+loop diuretic	spironolacton + loop-diuretikum
under care of nurse	i behandling hos sygeplejerske
demodema boranensis entomopoxvirus	Demodema boranensis entomopoxvirus
total number of sexual partners ever	totalt antal seksualpartnere overhovedet
neonatal candidiasis of lung	Neonatal candidiasis i lunge
emergency replacement of aneurysmal femoral artery or popliteal artery	ikke nærmere specificeret Akut udskiftning af aneurismatisk arteria femoralis eller arteria poplitea
knitted polyester 5cmx5cm inert ointment impregnated primary dressing	primær forbinding af strikket polyester imprægneret med inaktiv salve 5 cm x 5 cm
loss of resistance technique - both saline and air	modstandstabsteknik - både saltvand og luft
serotype O44 enteropathogenic Escherichia coli	serotype O44 enteropatogen Escherichia coli
clonazepam 2mg/5mL s/f oral solution	clonazepam 2 mg/5 ml sukkerfri oral opløsning
secondary malignant neoplasm of popliteal lymph nodes	Sekundært malignt neoplasme i popliteale lymfeknuder
injury of brachial vein	læsion af  vena brachialis
glucose-6-phosphate 1-epimerase	Glucose-6-phosphat-1-epimerase
stung by Portuguese Man-of-war	forbrændt af portugisisk orlogsmand
occupant of commercial aircraft in surface to air transport injured aircraft collision whilst taking off	besætningsmedlem på kommercielt fly i gang med jord-til-luft-transport kvæstet flykollision under letning
entire distal part of pituitary	hypofysens distale del som helhed
drug-induced erythromelalgia	Medikamentelt fremkaldt erytromelalgi
